id,name,universe,alias,tier,image_url,created_at,real_name,blurb,fit_roles,bad_roles,lines,prep_shift,Power_lvl
00329c57-1cc2-4d0b-81d9-594e528caa06,Kyojuro Rengoku,DS,Rengoku,C,https://trtccsljexjplnuhnlkz.supabase.co/storage/v1/object/public/character-art/kyojuro-rengoku.jpg,2026-08-11 04:47:36.459091+00,Rengoku,Set his heart ablaze and meant it.,PA,S,"{""reply"":[""Weak resolve does not scare a burning heart!"",""I do not fear death. I fear failing my duty!"",""Whatever happens, I will not let you pass!""],""taunt"":[""Set your heart ablaze! That's how you fight!"",""A Hashira never wavers, not even here!"",""I will protect everyone, with everything I have!""],""falling"":[""Set your heart ablaze, no matter what happens to me!"",""I have no regrets. This was my duty, and I loved it.""],""overDown"":[""Set your heart ablaze, even here, at the end!"",""That is the duty of a Hashira, fulfilled!""]}",0,77
003d59dd-a46b-464d-8a00-569736298f4e,Wonder Woman,DC,Diana Prince,A,https://trtccsljexjplnuhnlkz.supabase.co/storage/v1/object/public/character-art/wonder-woman.jpg,2026-08-11 04:47:36.459091+00,Diana Prince,Truth is not optional.,AE,W,"{""reply"":[""Deception does not survive the lasso's truth."",""I do not fight for glory. I fight because it's right."",""An Amazon does not flinch at threats.""],""taunt"":[""Truth doesn't fear you. Neither do I."",""The lasso has already decided who's lying here."",""Themyscira trained me for exactly this moment.""],""falling"":[""Even an Amazon bleeds. Rarely shown."",""Themyscira will hear of this. Someday.""],""overDown"":[""Justice, as it should be."",""The truth was always going to win.""]}",0,91
011a53d7-cead-441c-b4a7-d79d51814e95,Cecil Stedman,INV,Director Cecil,D,,2026-08-28 00:26:55.746744+00,Cecil Stedman,Protects Earth by any ruthless means necessary.,S,P,,1,50
01a56169-4d2b-4ea9-828d-1991ed0c3c53,Inosuke Hashibira,DS,Inosuke,D,https://trtccsljexjplnuhnlkz.supabase.co/storage/v1/object/public/character-art/inosuke-hashibira.jpg,2026-08-11 04:47:36.459091+00,Inosuke,"Boar head, no plan.",PW,S,"{""reply"":[""Ha! Big words from something about to lose to a boar!"",""I don't listen to prey that still talks this much!"",""Come on then! I've fought scarier things barehanded!""],""taunt"":[""Boar charges forward! No plan needed!"",""I'm the strongest in the mountains, and now here too!"",""Beast breathing doesn't need your permission to win!""],""falling"":[""This wasn't supposed to happen to me, of all people!"",""Tanjiro's gonna hear I actually lost one. Unacceptable!""],""overDown"":[""Told ya! Strongest in the mountains!"",""That's what happens when you challenge a beast!""]}",0,65
01d6cc12-5b0b-49ba-87ad-6c2a5b484199,Kitana,MK,,B,https://trtccsljexjplnuhnlkz.supabase.co/storage/v1/object/public/character-art/kitana.jpg,2026-08-19 13:13:40.4991+00,Kitana,,SE,P,,1,74
0252b238-d5c9-4aeb-bea4-2d8a16ab735d,Zenon Zogratis,BC,Zenon,A,https://trtccsljexjplnuhnlkz.supabase.co/storage/v1/object/public/character-art/zenon-zogratis.jpg,2026-08-11 04:47:36.459091+00,Zenon,"Bone, and nothing behind the eyes.",EP,A,"{""reply"":[""Emotion is a weakness I discarded long ago."",""Your threat registers as noise, nothing more."",""I have no fear left to exploit.""],""taunt"":[""Bone, and nothing behind my eyes but your defeat."",""I feel little. Winning is one of the few things I do."",""This body doesn't tire. Yours will.""],""falling"":[""This is... an unfamiliar sensation. Loss."",""Even nothing behind the eyes feels this, apparently.""],""overDown"":[""Another win. It means less than you'd think."",""Bone magic, undefeated, as expected.""]}",0,90
03085f2b-e82b-4d98-8e10-246fab5d289c,Minato Namikaze,NAR,,S,https://trtccsljexjplnuhnlkz.supabase.co/storage/v1/object/public/character-art/minato-namikaze.jpg,2026-08-19 13:13:40.4991+00,Fourth Hokage,The OG.,PE,A,,0,94
03de1f80-91fa-4778-b9bc-713b732bdac9,Conquest,INV,Conquest,A,,2026-08-28 00:26:55.746744+00,Conquest,Viltrum’s most battle-crazed warrior.,PE,A,,0,88
041b59e6-7119-46ce-8033-a1c5d6ec2330,The Thing,MAR,Ben Grimm,B,https://trtccsljexjplnuhnlkz.supabase.co/storage/v1/object/public/character-art/the-thing.jpg,2026-08-11 04:47:36.459091+00,Ben Grimm,"Clobbering time, every time.",PA,S,"{""reply"":[""Ain't much scares a guy already made of rock."",""Cute speech. Didn't change a thing."",""Talk's cheap, and I'm made of the expensive stuff.""],""taunt"":[""It's clobberin' time."",""You picked a fight with a pile of rocks. Bold."",""I've been ugly and tough longer than you've been alive.""],""falling"":[""Even rock cracks eventually, I guess."",""Reed's gonna have a field day analyzing this.""],""overDown"":[""Told ya. Clobberin' time."",""That's what happens when you tick off the Thing.""]}",0,81
04634f61-da77-4211-8980-d0506f38e3a1,Beru,SL,Beru,A,https://trtccsljexjplnuhnlkz.supabase.co/storage/v1/object/public/character-art/beru.jpg,2026-08-11 04:47:36.459091+00,Beru,"Ant king, extremely loyal now.",PAE,S,"{""reply"":[""Loyalty makes me dangerous in ways you cannot measure."",""I exist to serve, and to end threats like you."",""You dare raise a hand near my liege's presence?""],""taunt"":[""The Ant King serves a Monarch. That alone should worry you."",""I have devoured stronger things than you for breakfast."",""My liege does not need to lift a claw for this.""],""falling"":[""My liege... forgive this failure."",""Even loyalty has its costs, apparently.""],""overDown"":[""My liege will be pleased with this outcome."",""The Ant King does not fail his Monarch.""]}",0,90
0531ea85-ee23-4b02-ad5d-65ba6ebcbc0b,Ethan Winters,RE,,B,https://trtccsljexjplnuhnlkz.supabase.co/storage/v1/object/public/character-art/EthanW.jpg,2026-08-16 16:53:54.077409+00,Ethan Winters,Lost a hand. Kept going.,AWE,S,"{""reply"":[""I've kept going through worse than your threats."",""You're not the strangest thing that's tried to kill me."",""I just want to go home. You're in the way of that.""],""taunt"":[""Lost a hand already. Not losing this fight too."",""I've survived worse than you in my own basement."",""Whatever you're planning, I've had worse happen at dinner.""],""falling"":[""Not again. I just wanted this to be over."",""Guess I'm losing another body part today. Fantastic.""],""overDown"":[""Just trying to get home. That's the whole motivation."",""Mia's waiting. This needed to end.""]}",1,68
064f5900-17fd-4b03-97a2-e1a073a94fb1,Soldier Boy,BOYS,Ben / Vought's First Superhero,B,https://trtccsljexjplnuhnlkz.supabase.co/storage/v1/object/public/character-art/soldier-boy.jpg,2026-08-18 03:34:10.307932+00,Ben,Vought's original super soldier.,SE,A,"{""reply"":[""I don't get weak. I ain't Homelander."",""You want a hero? You're looking at him."",""I beat the hell out of worse than you.""],""taunt"":[""You think you're tough? You're a disappointment."",""I made this country!"",""Let's see if you can take a real hit.""],""falling"":[""Back in... the chamber..."",""Not again...""],""overDown"":[""Depowered and done."",""Just another shell.""]}",0,78
